"","text","favorite_count","retweet_count"
"1","800663",8,2
"2","800659",11,1
"3","800651",19,1
"4","800647",12,0
"5","800623",11,0
"6","800621",18,3
"7","800599",16,1
"8","800593",20,2
"9","800587",35,5
"10","800573",20,3
"11","800557",24,4
"12","800549",17,2
"13","800539",25,4
"14","800537",25,3
"15","800533",33,4
"16","800521",25,5
"17","800519",23,2
"18","800509",20,1
"19","800497",19,0
"20","800483",25,0
"21","800477",21,1
"22","800473",24,1
"23","800447",29,1
"24","800441",24,2
"25","800419",24,0
"26","800417",23,0
"27","800407",34,4
"28","800399",17,2
"29","800357",19,1
"30","800351",21,1
"31","800333",86,6
"32","800329",25,0
"33","800311",22,1
"34","800291",25,1
"35","800287",31,3
"36","800281",25,2
"37","800243",33,1
"38","800237",28,2
"39","800231",29,2
"40","800221",27,4
"41","800213",34,4
"42","800209",22,0
"43","800171",16,2
"44","800161",16,0
"45","800159",21,1
"46","800143",23,1
"47","800131",22,1
"48","800123",37,2
"49","800119",18,3
"50","800117",28,1
"51","800113",33,3
"52","800089",53,6
"53","800083",48,0
"54","800077",60,4
"55","800057",25,1
"56","800053",34,2
"57","800029",47,4
"58","800011",191,12
"59","799999",1305,273
"60","799993",132,21
"61","799991",465,36
"62","799979",407,66
"63","799961",42,2
"64","799949",61,6
"65","799921",29,2
"66","799891",34,4
"67","799873",28,1
"68","799859",23,2
"69","799853",20,2
"70","799837",20,1
"71","799817",19,1
"72","799807",23,1
"73","799801",27,6
"74","799789",33,2
"75","799759",30,3
"76","799753",19,2
"77","799741",16,3
"78","799739",26,3
"79","799727",21,0
"80","799723",29,1
"81","799679",20,0
"82","799661",23,2
"83","799657",24,3
"84","799651",17,0
"85","799637",20,1
"86","799633",24,1
"87","799621",23,4
"88","799619",30,1
"89","799613",20,1
"90","799609",37,1
"91","799573",21,2
"92","799553",44,6
"93","799543",17,2
"94","799529",21,2
"95","799523",33,1
"96","799507",20,2
"97","799489",24,2
"98","799483",22,0
"99","799481",19,1
"100","799471",23,1
"101","799453",15,1
"102","799441",25,2
"103","799427",17,0
"104","799417",19,0
"105","799369",42,2
"106","799363",40,1
"107","799361",25,2
"108","799343",21,1
"109","799333",91,10
"110","799313",27,2
"111","799307",19,2
"112","799303",22,1
"113","799301",24,3
"114","799291",26,2
"115","799259",28,0
"116","799223",34,3
"117","799219",34,2
"118","799217",14,1
"119","799171",28,2
"120","799151",28,2
"121","799147",16,1
"122","799103",23,1
"123","799093",33,2
"124","799091",40,1
"125","799063",151,7
"126","799061",23,1
"127","799031",20,1
"128","799021",22,4
"129","799003",35,2
"130","798961",24,2
"131","798943",24,3
"132","798937",21,1
"133","798929",20,1
"134","798923",29,5
"135","798911",23,1
"136","798887",50,8
"137","798871",12,0
"138","798823",18,2
"139","798799",37,6
"140","798781",21,2
"141","798773",24,2
"142","798757",17,1
"143","798751",16,1
"144","798737",15,1
"145","798727",24,1
"146","798713",14,4
"147","798701",21,1
"148","798697",23,4
"149","798691",20,3
"150","798667",13,1
"151","798649",13,2
"152","798647",21,4
"153","798641",15,2
"154","798613",19,4
"155","798599",15,4
"156","798569",15,3
"157","798533",12,3
"158","798527",25,2
"159","798521",18,4
"160","798517",25,4
"161","798503",19,2
"162","798487",12,3
"163","798481",12,1
"164","798461",18,2
"165","798451",12,3
"166","798443",14,1
"167","798409",22,3
"168","798403",16,3
